ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
217.29.16.250,name2.saimanet.kg.,KG,Bishkek,9.2.4,,false,0.97,2015-10-29 11:26:45 +0100,2013-01-30 19:43:14 +0100
77.235.19.126,mail.prohosting.kg.,KG,"","",,false,1.0,2015-10-29 11:32:21 +0100,2014-12-29 12:15:33 +0100
212.42.104.153,pacific.static.elcat.kg.,KG,"","",,false,0.92,2015-10-29 11:36:35 +0100,2014-12-29 13:01:26 +0100
212.112.104.98,mail.gdhotel.kg.,KG,"",8.3.7-REL,,false,0.97,2015-10-29 11:36:48 +0100,2014-12-29 13:02:57 +0100
212.42.117.62,212-42-117-62.elcat.kg.,KG,"","",,false,1.0,2015-10-29 11:49:41 +0100,2014-12-29 14:45:26 +0100
81.88.193.116,"",KG,"","",,false,1.0,2015-10-29 11:56:30 +0100,2014-12-29 15:25:53 +0100
46.235.74.29,"",KG,"","",,false,0.84,2015-10-29 12:29:31 +0100,2014-12-29 19:27:58 +0100
81.88.196.158,"",KG,"","",,false,0.86,2015-10-29 12:43:06 +0100,2014-12-29 21:41:11 +0100
212.2.227.8,212-2-227-8.borneo.kg.,KG,"","",,false,1.0,2015-10-29 13:09:09 +0100,2014-12-30 11:03:30 +0100
212.112.103.198,"",KG,"","",,false,0.98,2015-10-29 13:29:43 +0100,2014-12-30 14:07:07 +0100
91.205.51.6,91-205-51-6.fast.net.kg.,KG,"","",,false,0.98,2015-10-29 14:15:25 +0100,2014-12-31 23:27:51 +0100
77.235.19.123,mail.prohosting.kg.,KG,"","",,false,1.0,2015-10-29 14:26:27 +0100,2015-01-05 23:01:52 +0100
77.235.19.122,mail.prohosting.kg.,KG,"","",,false,1.0,2015-10-29 14:27:15 +0100,2015-01-05 23:30:34 +0100
212.112.97.196,"",KG,"","",,false,0.97,2015-10-29 14:29:46 +0100,2015-01-06 00:57:05 +0100
212.112.107.45,"",KG,"","",,false,0.97,2015-10-29 14:30:11 +0100,2015-01-06 01:09:57 +0100
92.245.98.37,92-245-98-37.mega.kg.,KG,"",Microsoft DNS 6.0.6001 (17714650),,false,0.98,2015-10-29 15:10:34 +0100,2015-01-06 20:06:11 +0100
212.42.106.33,212-42-106-33.elcat.kg.,KG,"","",,false,0.95,2015-10-29 15:22:00 +0100,2015-01-07 01:47:09 +0100
212.112.99.142,mx.delta-profi.kg.,KG,"","",,false,0.52,2015-10-29 15:22:43 +0100,2015-01-07 02:14:22 +0100
194.176.111.127,"",KG,"",dnsmasq-2.45,,false,1.0,2015-10-29 15:28:17 +0100,2015-01-07 05:03:05 +0100
77.235.16.170,siroca.com.,KG,"","",,false,0.97,2015-10-29 15:50:11 +0100,2015-01-07 16:32:54 +0100
77.235.19.46,77-235-19-46.mega.kg.,KG,"",PowerDNS Recursor 3.7.2 (jenkins@autotest.powerdns.com built 20150427104433 mockbuild@buildvm-18.phx2.fedoraproject.org),,false,1.0,2015-10-29 15:50:53 +0100,2015-01-07 16:53:21 +0100
212.112.110.134,mail.cognac.kg.,KG,"","",,false,0.99,2015-10-29 15:54:23 +0100,2015-01-07 18:39:08 +0100
77.235.8.42,77-235-8-42.mega.kg.,KG,"","",,false,1.0,2015-10-29 15:58:13 +0100,2015-01-07 20:37:48 +0100
77.235.11.2,music.kg.,KG,"",9.3.2,,false,1.0,2015-10-29 07:41:42 +0100,2015-01-08 08:43:01 +0100
77.235.17.150,77-235-17-150.mega.kg.,KG,"","",,false,0.94,2015-10-29 07:54:21 +0100,2015-01-08 16:11:15 +0100
77.235.17.99,77-235-17-99.mega.kg.,KG,"",ZyWALL DNS,,false,0.64,2015-10-29 07:54:38 +0100,2015-01-08 16:19:41 +0100
217.29.20.126,217-29-20-126.saimanet.kg.,KG,"",dnsmasq-2.45,,true,0.31,2015-10-29 07:58:47 +0100,2015-01-08 18:35:48 +0100
92.245.100.182,92-245-100-182.mega.kg.,KG,"","",,false,0.99,2015-10-29 08:10:13 +0100,2015-01-09 00:32:44 +0100
213.145.159.243,ns1.mtc.gov.kg.,KG,"",9.3.4,,false,0.96,2015-10-29 08:27:55 +0100,2015-01-09 09:02:10 +0100
212.112.117.194,"",KG,"",9.8.4-rpz2+rl005.12-P1,,true,0.99,2015-10-29 08:30:08 +0100,2015-01-09 09:58:58 +0100
212.42.118.137,212-42-118-137.elcat.kg.,KG,"","",,false,0.93,2015-10-29 08:31:46 +0100,2015-01-09 10:41:01 +0100
212.112.105.229,"",KG,"","",,false,0.93,2015-10-29 09:13:28 +0100,2015-01-10 10:51:21 +0100
217.29.16.241,217-29-16-241.saimanet.kg.,KG,Bishkek,9.2.4,,false,0.96,2015-10-29 10:57:58 +0100,2015-01-12 20:46:39 +0100
