ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
194.1.185.122,ns.techcafe.sk.,SK,"",9.3.4,,false,0.98,2015-10-29 11:26:57 +0100,2013-04-23 02:18:46 +0200
212.5.220.252,charon.bgs.sk.,SK,"",Not disclosed,,false,1.0,2015-10-29 11:27:05 +0100,2013-04-23 02:48:31 +0200
217.73.17.110,ep09.kernel.sk.,SK,"",MYOB,,false,1.0,2015-10-29 11:27:11 +0100,2013-04-23 03:02:22 +0200
80.242.44.36,star.axalnet.sk.,SK,Topoľčany,9.3.4-P1.1,,false,0.98,2015-10-29 11:27:16 +0100,2013-04-23 03:14:23 +0200
80.94.48.254,ns.sitel.sk.,SK,"",Not available,,false,1.0,2015-10-29 11:27:17 +0100,2013-04-23 03:17:07 +0200
92.240.232.242,ns2.lightstorm.sk.,SK,"",Served by PowerDNS - http://www.powerdns.com,,true,1.0,2015-10-29 11:27:24 +0100,2013-04-23 03:34:35 +0200
80.94.52.254,ns.trestel.sk.,SK,"",Not available,,false,1.0,2015-10-29 11:27:32 +0100,2013-08-08 07:29:54 +0200
87.197.40.58,edunet-static-58.87-197-40.telecom.sk.,SK,"","",,false,1.0,2015-10-29 11:28:47 +0100,2013-11-19 03:13:08 +0100
194.160.227.38,gw2.elfa.sk.,SK,"","",,false,1.0,2015-10-29 11:30:12 +0100,2014-12-27 00:56:29 +0100
109.236.117.137,"",SK,"","",,false,0.92,2015-10-29 11:34:33 +0100,2014-12-29 12:42:59 +0100
212.26.166.188,212-26-166-188.adsl.swan.sk.,SK,"",dnsmasq-2.52,,false,0.9,2015-10-29 11:34:54 +0100,2014-12-29 12:45:31 +0100
91.148.22.100,100.22.148.91.dyn.marticonet.sk.,SK,"","",,false,1.0,2015-10-29 11:36:23 +0100,2014-12-29 12:59:32 +0100
85.159.104.82,"",SK,"","",,false,0.97,2015-10-29 11:36:55 +0100,2014-12-29 13:05:08 +0100
62.168.109.195,ab3.webra.bb.cust.gts.sk.,SK,Banská Bystrica,"",,false,0.86,2015-10-29 11:38:43 +0100,2014-12-29 13:21:00 +0100
158.195.2.2,domaindnszones.uniba.sk.,SK,Bratislava,"",,false,1.0,2015-10-29 11:39:10 +0100,2014-12-29 13:25:04 +0100
85.248.46.169,a169.watel.vt.cust.gts.sk.,SK,Vranov nad Topľou,"",,false,0.99,2015-10-29 11:41:18 +0100,2014-12-29 13:44:14 +0100
195.3.168.35,"",SK,Liptovský Mikuláš,:),,false,0.83,2015-10-29 11:41:30 +0100,2014-12-29 13:46:16 +0100
109.236.123.130,"",SK,"","",,false,1.0,2015-10-29 11:41:46 +0100,2014-12-29 13:48:28 +0100
91.227.224.2,"",SK,Kmet'ovo,.,,false,0.86,2015-10-29 11:42:49 +0100,2014-12-29 13:58:05 +0100
85.248.54.201,a73.rakl.nb.cust.gts.sk.,SK,Nova Bana,"",,false,0.99,2015-10-29 11:43:07 +0100,2014-12-29 14:00:33 +0100
109.236.124.65,"",SK,"","",,false,0.99,2015-10-29 11:43:21 +0100,2014-12-29 14:02:55 +0100
94.228.83.145,host-94-228-83-145.e-net.sk.,SK,"","",,false,1.0,2015-10-29 11:44:10 +0100,2014-12-29 14:09:29 +0100
62.168.109.193,ab1.webra.bb.cust.gts.sk.,SK,Banská Bystrica,"",,false,0.98,2015-10-29 11:44:35 +0100,2014-12-29 14:13:20 +0100
213.215.123.71,medis.ctn.sk.,SK,"","",,false,0.95,2015-10-29 11:44:47 +0100,2014-12-29 14:14:17 +0100
109.236.124.76,"",SK,"","",,false,0.99,2015-10-29 11:47:14 +0100,2014-12-29 14:31:14 +0100
62.168.109.210,ab18.webra.bb.cust.gts.sk.,SK,Banská Bystrica,"",,true,1.0,2015-10-29 11:47:44 +0100,2014-12-29 14:34:18 +0100
195.168.95.82,a82.mos.nz.nextra.sk.,SK,"","",,false,0.99,2015-10-29 11:47:56 +0100,2014-12-29 14:35:46 +0100
213.108.124.14,213-108-124-14.minet.sk.,SK,"",0,,false,0.53,2015-10-29 11:48:15 +0100,2014-12-29 14:37:24 +0100
94.229.39.53,94.229.39.53.datanetworks.sk.,SK,"","",,false,0.94,2015-10-29 11:48:29 +0100,2014-12-29 14:38:38 +0100
