ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
86.36.50.134,"",QA,Doha,PowerDNS Authoritative Server 3.3 (jenkins@autotest.powerdns.com built 20130817005442 root@plymouth),,true,0.86,2015-10-29 12:24:29 +0100,2014-12-29 18:46:11 +0100
213.130.100.221,"",QA,"","",,false,0.99,2015-10-29 12:38:20 +0100,2014-12-29 21:04:19 +0100
78.100.40.76,"",QA,"",dnsmasq-2.72,,false,0.74,2015-10-29 13:31:17 +0100,2014-12-30 14:17:58 +0100
78.100.99.171,"",QA,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.99,2015-10-29 14:23:42 +0100,2015-01-05 21:32:58 +0100
89.211.53.228,edge01.qbcf.gov.qa.,QA,Doha,Microsoft DNS 6.0.6001 (17714650),,false,0.99,2015-10-29 14:50:04 +0100,2015-01-06 11:11:09 +0100
78.100.76.245,"",QA,"","",,false,0.97,2015-10-29 15:16:09 +0100,2015-01-06 22:16:07 +0100
89.211.56.212,"",QA,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.99,2015-10-29 15:30:12 +0100,2015-01-07 06:02:31 +0100
78.100.54.75,"",QA,Doha,"",,false,0.99,2015-10-29 15:31:16 +0100,2015-01-07 06:42:23 +0100
86.36.50.135,"",QA,Doha,PowerDNS Authoritative Server 3.3 (jenkins@autotest.powerdns.com built 20130817005442 root@plymouth),,true,1.0,2015-10-29 15:57:22 +0100,2015-01-07 20:11:13 +0100
213.130.118.107,ns2.qmc.qa.,QA,Doha,"",,false,0.98,2015-10-29 07:35:09 +0100,2015-01-08 04:28:58 +0100
213.130.115.244,ns01.qfcw.org.qa.,QA,"","",,false,1.0,2015-10-29 07:51:44 +0100,2015-01-08 14:50:38 +0100
89.211.38.114,mail.skyoryxjv.net.,QA,"","",,false,0.99,2015-10-29 08:49:36 +0100,2015-01-09 21:24:17 +0100
78.100.88.188,"",QA,"",9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.6,,false,1.0,2015-10-29 09:00:59 +0100,2015-01-10 04:05:03 +0100
78.100.40.156,ns1.qchem.com.qa.,QA,Doha,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 09:21:09 +0100,2015-01-10 14:34:09 +0100
212.77.217.193,dns1.cna-qatar.edu.qa.,QA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.6,2015-10-29 09:22:05 +0100,2015-01-10 15:00:55 +0100
78.100.89.102,"",QA,Doha,9.3.6-P1-RedHat-9.3.6-16.P1.el5_7.1,,false,0.99,2015-10-29 09:51:50 +0100,2015-01-11 07:56:50 +0100
78.100.89.101,"",QA,Doha,9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.2,,false,0.99,2015-10-29 10:26:03 +0100,2015-01-12 01:49:35 +0100
213.130.112.181,ns1.NHA.ORG.qa.,QA,Doha,"",,false,1.0,2015-10-29 10:55:27 +0100,2015-01-12 19:11:26 +0100
