ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
203.115.31.130,mail.priu.gov.lk.,LK,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_4.2,,false,1.0,2015-10-29 12:02:04 +0100,2014-12-29 15:56:42 +0100
203.94.78.194,"",LK,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.65,2015-10-29 12:20:41 +0100,2014-12-29 18:11:24 +0100
222.165.146.86,"",LK,"",dnsmasq-2.68,,true,0.99,2015-10-29 12:51:11 +0100,2014-12-29 22:51:32 +0100
220.247.241.225,mail.msal.lk.,LK,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_5.3,,false,0.65,2015-10-29 13:33:00 +0100,2014-12-30 14:34:39 +0100
124.43.25.209,mail.mfsl.lk.,LK,"",dnsmasq-2.49,,true,1.0,2015-10-29 13:41:11 +0100,2014-12-30 15:57:23 +0100
220.247.213.170,server1.indoeast.lk.,LK,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-29 13:53:38 +0100,2014-12-30 18:06:36 +0100
220.247.213.129,mailserver.gtllanka.com.,LK,"",dnsmasq-2.66,,true,0.99,2015-10-29 13:56:30 +0100,2014-12-30 18:41:23 +0100
123.231.23.8,"",LK,Colombo,DIALOG,,false,0.95,2015-10-29 15:02:39 +0100,2015-01-06 16:42:20 +0100
119.235.5.122,"",LK,Colombo,dnsmasq-2.40,,true,1.0,2015-10-29 15:05:33 +0100,2015-01-06 17:58:56 +0100
203.94.74.44,mail1.bhoomi.lk.,LK,"","",,false,0.38,2015-10-29 15:08:53 +0100,2015-01-06 19:23:09 +0100
119.235.5.218,"",LK,Colombo,dnsmasq-2.40,,true,0.99,2015-10-29 15:10:42 +0100,2015-01-06 20:08:37 +0100
220.247.242.118,118.sta.broadband.slt.lk.,LK,"",dnsmasq-2.55,,false,0.91,2015-10-29 15:23:27 +0100,2015-01-07 02:33:49 +0100
220.247.227.230,"",LK,"","",,false,0.68,2015-10-29 15:36:59 +0100,2015-01-07 09:54:27 +0100
203.115.20.190,"",LK,"","",,false,0.94,2015-10-29 07:30:01 +0100,2015-01-08 02:17:41 +0100
203.143.42.24,hilton.lankacom.lk.,LK,Colombo,"",,false,1.0,2015-10-29 07:36:40 +0100,2015-01-08 05:13:33 +0100
123.231.23.144,"",LK,Colombo,dnsmasq-2.40,,false,0.92,2015-10-29 09:04:12 +0100,2015-01-10 05:59:51 +0100
203.115.15.225,"",LK,"",dnsmasq-2.68,,true,0.96,2015-10-29 10:53:39 +0100,2015-01-12 18:08:45 +0100
