ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
193.2.64.45,ns.uni-lj.si.,SI,Ljubljana,"",,false,0.98,2015-10-29 11:29:12 +0100,2014-05-19 05:15:49 +0200
46.23.15.227,"",SI,"","",,false,0.95,2015-10-29 11:31:41 +0100,2014-12-29 12:06:52 +0100
193.77.124.213,BSN-77-124-213.static.siol.net.,SI,Ljubljana,"",,false,0.67,2015-10-29 11:38:18 +0100,2014-12-29 13:17:00 +0100
194.249.60.2,"",SI,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.98,2015-10-29 11:49:34 +0100,2014-12-29 14:45:06 +0100
213.172.228.75,cable75-228.evj.voljatel.net.,SI,Izlake,dnsmasq-2.40,,false,1.0,2015-10-29 11:52:29 +0100,2014-12-29 15:01:33 +0100
193.77.159.189,BSN-77-159-189.static.siol.net.,SI,Ljubljana,dnsmasq-2.40,,true,1.0,2015-10-29 11:52:34 +0100,2014-12-29 15:02:03 +0100
193.77.157.87,BSN-77-157-87.static.siol.net.,SI,Ljubljana,"",,false,1.0,2015-10-29 11:55:57 +0100,2014-12-29 15:23:08 +0100
193.77.159.247,BSN-77-159-247.static.siol.net.,SI,Ljubljana,"",,false,1.0,2015-10-29 12:13:36 +0100,2014-12-29 17:02:05 +0100
212.72.120.60,"",SI,"","",,false,1.0,2015-10-29 12:15:15 +0100,2014-12-29 17:14:54 +0100
213.143.92.126,tm.213.143.92.126.et.static.telemach.net.,SI,"","",,false,0.99,2015-10-29 12:17:09 +0100,2014-12-29 17:33:07 +0100
193.77.152.130,BSN-77-152-130.static.siol.net.,SI,Ljubljana,"",,false,1.0,2015-10-29 12:18:57 +0100,2014-12-29 17:55:10 +0100
89.212.4.129,89-212-4-129.static.t-2.net.,SI,Domžale,"",,false,0.84,2015-10-29 12:29:53 +0100,2014-12-29 19:30:01 +0100
212.13.240.146,"",SI,"","",,false,1.0,2015-10-29 12:34:20 +0100,2014-12-29 20:24:34 +0100
193.2.246.9,ns.uil-sipo.si.,SI,"","",,false,1.0,2015-10-29 12:37:02 +0100,2014-12-29 20:52:29 +0100
93.103.0.249,cloud-sl1ap.cloud.aoi.services.,SI,"","",,false,0.97,2015-10-29 12:37:25 +0100,2014-12-29 20:55:55 +0100
93.103.13.14,93-103-13-14.static.t-2.net.,SI,"","",,false,0.86,2015-10-29 12:38:02 +0100,2014-12-29 21:01:24 +0100
194.249.185.2,"",SI,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.99,2015-10-29 12:42:14 +0100,2014-12-29 21:33:31 +0100
31.15.246.23,cpe-31-15-246-23.cable.telemach.net.,SI,"",dnsmasq-2.40,,true,0.57,2015-10-29 12:45:26 +0100,2014-12-29 21:59:52 +0100
194.249.134.211,"",SI,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.94,2015-10-29 12:51:13 +0100,2014-12-29 22:52:02 +0100
193.77.138.83,mail.notarka-vidmar.net.,SI,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.95,2015-10-29 12:54:39 +0100,2014-12-29 23:43:47 +0100
46.248.64.66,66-64.jesenice.net.,SI,Jesenice,"",,false,1.0,2015-10-29 12:56:13 +0100,2014-12-30 00:24:09 +0100
193.2.208.25,irida.rzs-hm.si.,SI,"",Microsoft DNS 6.0.6002 (17724655),,false,0.97,2015-10-29 13:00:40 +0100,2014-12-30 01:52:18 +0100
193.243.141.119,anubis.finance.si.,SI,"",dnsmasq-2.68,,false,1.0,2015-10-29 13:02:00 +0100,2014-12-30 09:20:14 +0100
195.250.58.10,ns4.actual-it.net.,SI,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.98,2015-10-29 13:15:04 +0100,2014-12-30 12:02:47 +0100
195.250.58.11,"",SI,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.99,2015-10-29 13:21:21 +0100,2014-12-30 12:58:36 +0100
82.192.47.202,"",SI,"",9.3.1,,false,0.99,2015-10-29 13:25:07 +0100,2014-12-30 13:30:55 +0100
164.8.135.7,energetika1.fe.uni-mb.si.,SI,Maribor,Microsoft DNS 6.1.7601 (1DB144E7),,false,1.0,2015-10-29 13:26:58 +0100,2014-12-30 13:46:05 +0100
141.255.219.11,dcv2fu.fu.uni-lj.si.,SI,Ljubljana,"",,false,0.99,2015-10-29 13:32:13 +0100,2014-12-30 14:26:37 +0100
89.212.253.4,89-212-253-4.static.t-2.net.,SI,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.94,2015-10-29 13:33:27 +0100,2014-12-30 14:40:00 +0100
193.9.21.206,"",SI,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.97,2015-10-29 13:35:37 +0100,2014-12-30 15:04:58 +0100
164.8.135.162,feesrv.fe.uni-mb.si.,SI,Maribor,"",,false,0.48,2015-10-29 13:36:59 +0100,2014-12-30 15:16:11 +0100
31.15.180.58,cpe-31-15-180-58.cable.telemach.net.,SI,Ljubljana,"",,false,0.79,2015-10-29 13:37:11 +0100,2014-12-30 15:18:17 +0100
212.103.142.3,infonovab03.infonova.si.,SI,"","",,false,1.0,2015-10-29 13:46:07 +0100,2014-12-30 16:38:37 +0100
194.249.174.162,"",SI,"","",,false,0.99,2015-10-29 13:50:05 +0100,2014-12-30 17:21:02 +0100
89.212.42.198,89-212-42-198.static.t-2.net.,SI,"",ZyWALL DNS,,false,0.16,2015-10-29 13:51:23 +0100,2014-12-30 17:38:23 +0100
89.212.55.200,89-212-55-200.static.t-2.net.,SI,"","",,false,0.98,2015-10-29 14:09:07 +0100,2014-12-31 20:23:17 +0100
90.157.186.34,kleopatra-shdsl.amis.net.,SI,"",8.4.7-REL-NOESW,,false,0.97,2015-10-29 14:23:56 +0100,2015-01-05 21:40:30 +0100
193.2.111.24,dcv2fa.fa.uni-lj.si.,SI,Ljubljana,"",,false,0.99,2015-10-29 14:33:29 +0100,2015-01-06 03:06:49 +0100
193.2.50.122,pkedc3.pksedu.local.,SI,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.98,2015-10-29 14:34:05 +0100,2015-01-06 03:22:24 +0100
89.142.199.116,BSN-142-199-116.static.siol.net.,SI,Ljubljana,"",,false,0.7,2015-10-29 14:47:17 +0100,2015-01-06 09:57:16 +0100
81.17.228.222,n228-h222.loc-b.akton.net.,SI,"","",,false,0.88,2015-10-29 14:47:54 +0100,2015-01-06 10:15:50 +0100
194.249.237.95,"",SI,"",dnsmasq-2.33,,true,0.99,2015-10-29 14:51:43 +0100,2015-01-06 11:58:28 +0100
46.19.11.145,"",SI,"",dnsmasq-2.62,,false,0.98,2015-10-29 14:52:26 +0100,2015-01-06 12:17:58 +0100
88.200.79.132,dcv2ag.ag.uni-lj.si.,SI,Ljubljana,"",,false,1.0,2015-10-29 14:52:38 +0100,2015-01-06 12:24:40 +0100
88.200.79.130,dcv1ag.ag.uni-lj.si.,SI,Ljubljana,"",,false,1.0,2015-10-29 14:52:45 +0100,2015-01-06 12:28:20 +0100
193.77.78.186,BSN-77-78-186.static.siol.net.,SI,"","",,false,1.0,2015-10-29 14:53:50 +0100,2015-01-06 12:57:29 +0100
193.77.212.113,mail.consensus.si.,SI,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 15:00:25 +0100,2015-01-06 15:49:24 +0100
193.77.212.49,BSN-77-212-49.static.siol.net.,SI,"","",,false,0.86,2015-10-29 15:01:05 +0100,2015-01-06 16:07:17 +0100
91.224.238.22,ns02.kolektor.com.,SI,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.93,2015-10-29 15:03:39 +0100,2015-01-06 17:09:50 +0100
109.123.19.5,cpe-19-5.customer.krs.net.,SI,"","",,false,0.99,2015-10-29 15:15:02 +0100,2015-01-06 21:53:50 +0100
109.123.19.65,cpe-19-65.customer.krs.net.,SI,"","",,false,0.99,2015-10-29 15:15:04 +0100,2015-01-06 21:55:06 +0100
212.235.221.190,"",SI,"","",,false,0.99,2015-10-29 15:23:35 +0100,2015-01-07 02:38:20 +0100
31.15.180.4,cpe-31-15-180-4.cable.telemach.net.,SI,Ljubljana,"",,false,1.0,2015-10-29 15:30:10 +0100,2015-01-07 06:02:32 +0100
86.58.96.7,cpe-86-58-96-7.ftth.triera.net.,SI,"",Triera Internet DNS Service,,false,1.0,2015-10-29 15:33:06 +0100,2015-01-07 07:47:18 +0100
193.2.82.215,ns2.ef.uni-lj.si.,SI,Ljubljana,"",,false,1.0,2015-10-29 15:34:26 +0100,2015-01-07 08:31:09 +0100
91.185.215.226,www2.streznik.com.,SI,"",9.2.2,,false,0.69,2015-10-29 15:41:31 +0100,2015-01-07 12:07:51 +0100
77.94.134.18,mail.mapro.si.,SI,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-29 15:42:20 +0100,2015-01-07 12:31:44 +0100
84.41.125.23,ljslo-41-125-23.adsl.softnet.si.,SI,"",Yes it's DNS,,false,0.99,2015-10-29 15:51:33 +0100,2015-01-07 17:14:48 +0100
91.213.80.14,"",SI,"",8.4.4,,false,0.57,2015-10-29 15:55:46 +0100,2015-01-07 19:23:33 +0100
86.58.116.43,cpe-86-58-116-43.ftth.triera.net.,SI,"",dnsmasq-2.40,,false,0.75,2015-10-29 07:20:39 +0100,2015-01-07 22:19:43 +0100
195.210.202.155,BSN-210-202-155.static.siol.net.,SI,"","",,true,0.98,2015-10-29 07:20:41 +0100,2015-01-07 22:21:18 +0100
194.249.254.110,"",SI,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.95,2015-10-29 07:22:59 +0100,2015-01-07 23:21:02 +0100
84.20.226.194,"",SI,"","",,false,0.81,2015-10-29 07:54:20 +0100,2015-01-08 16:12:39 +0100
84.52.180.134,eko-naf.84.52.180.134.cust.static.telemach.net.,SI,"","",,false,0.96,2015-10-29 07:56:18 +0100,2015-01-08 17:16:36 +0100
77.94.131.90,bsn-77-94-131-90.static.stelkom.net.,SI,"","",,false,1.0,2015-10-29 07:57:23 +0100,2015-01-08 17:50:20 +0100
141.255.207.11,"",SI,Ljubljana,"",,false,0.98,2015-10-29 08:01:20 +0100,2015-01-08 20:00:16 +0100
77.38.0.15,mail.tecos.si.,SI,"",dnsmasq-2.55,,false,0.87,2015-10-29 08:07:28 +0100,2015-01-08 23:06:40 +0100
193.2.59.36,prad01.rad.sik.si.,SI,"","",,false,1.0,2015-10-29 08:30:43 +0100,2015-01-09 10:16:08 +0100
89.212.119.70,89-212-119-70.static.t-2.net.,SI,Ajdovščina,ZyWALL DNS,,false,1.0,2015-10-29 08:31:33 +0100,2015-01-09 10:38:09 +0100
212.103.158.115,"",SI,"","",,false,1.0,2015-10-29 08:35:28 +0100,2015-01-09 12:31:44 +0100
84.52.184.132,mailsrv.kompas-xnet.si.,SI,Ljubljana,"",,false,1.0,2015-10-29 08:35:48 +0100,2015-01-09 12:39:20 +0100
93.103.7.102,93-103-7-102.static.t-2.net.,SI,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-29 08:38:22 +0100,2015-01-09 13:46:23 +0100
141.255.214.11,dcv2ffa.ffa.uni-lj.si.,SI,Ljubljana,Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 08:46:29 +0100,2015-01-09 19:31:56 +0100
89.212.77.209,89-212-77-209.static.t-2.net.,SI,"","",,false,0.99,2015-10-29 08:51:20 +0100,2015-01-09 22:33:46 +0100
